Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Sam Mayes,4.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,2.0,1.0,1.0,38.0,0,Home,0,3.0,3.0,2.0,0.0,2.0
Dane Swan,22.0,9.0,31.0,0.0,0.0,1.0,5.0,0.0,1.0,3.0,3.0,6.0,2.0,0.0,0.0,17.0,14.0,1401.2,45.2,0.0,0.0,2.0,0.0,1.0,2.0,5.0,597.0,13.0,8.0,0.0,79.0,1,Away,0,0.0,0.0,5.0,4.0,16.988
Taylor Adams,13.0,18.0,31.0,3.0,0.0,0.0,2.0,0.0,0.0,7.0,8.0,6.0,2.0,0.0,3.0,16.0,15.0,1900.3,61.3,0.0,1.0,1.0,0.0,1.0,6.0,4.0,346.0,7.0,3.0,0.0,84.0,1,Away,0,3.0,2.0,2.0,4.0,11.997
Scott Pendlebury,16.0,9.0,25.0,4.0,0.0,0.0,5.0,2.0,1.0,8.0,5.0,1.0,0.0,4.0,0.0,12.0,14.0,1900.0,76.0,0.0,0.0,1.0,0.0,3.0,2.0,6.0,473.0,5.0,2.0,0.0,87.0,1,Away,1,4.0,4.0,5.0,5.0,6.0
Jarryd Blair,14.0,7.0,21.0,1.0,2.0,0.0,7.0,0.0,0.0,4.0,4.0,2.0,1.0,3.0,0.0,10.0,11.0,1400.7,66.7,0.0,1.0,1.0,0.0,0.0,4.0,8.0,385.0,5.0,3.0,1.0,86.0,1,Away,0,1.0,0.0,6.0,8.0,6.9929999999999986
Steele Sidebottom,12.0,7.0,19.0,2.0,2.0,0.0,5.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,11.0,7.0,1900.0,100.0,1.0,1.0,0.0,1.0,2.0,3.0,7.0,410.0,1.0,5.0,0.0,55.0,1,Away,2,1.0,1.0,5.0,5.0,0.0
Tom Langdon,12.0,7.0,19.0,2.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,2.0,3.0,1.0,0.0,6.0,11.0,1400.3,73.7,0.0,0.0,7.0,0.0,0.0,0.0,5.0,432.0,4.0,10.0,0.0,83.0,1,Away,0,2.0,2.0,3.0,5.0,4.997
Travis Cloke,13.0,4.0,17.0,3.0,2.0,2.0,0.0,0.0,1.0,5.0,0.0,6.0,0.0,4.0,2.0,9.0,8.0,1200.1999999999998,70.6,2.0,2.0,3.0,0.0,0.0,0.0,8.0,369.0,5.0,1.0,0.0,92.0,1,Away,0,1.0,1.0,0.0,7.0,4.998000000000001
Jesse White,7.0,10.0,17.0,7.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,7.0,9.0,1099.9,64.7,3.0,4.0,4.0,0.0,0.0,1.0,6.0,208.0,1.0,2.0,0.0,92.0,1,Away,0,4.0,3.0,0.0,6.0,6.0009999999999994
Travis Varcoe,10.0,6.0,16.0,2.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0,12.0,1299.2,81.2,0.0,1.0,0.0,0.0,1.0,0.0,6.0,277.0,2.0,1.0,0.0,84.0,1,Away,0,2.0,1.0,1.0,4.0,3.007999999999999
Ben Sinclair,9.0,7.0,16.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,5.0,8.0,1000.0,62.5,0.0,1.0,3.0,1.0,0.0,1.0,3.0,356.0,4.0,4.0,0.0,85.0,1,Away,0,2.0,1.0,3.0,3.0,6.0
Jamie Elliott,11.0,5.0,16.0,8.0,1.0,1.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,8.0,8.0,800.0,50.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,229.0,5.0,4.0,3.0,87.0,1,Away,0,5.0,6.0,3.0,4.0,8.0
Jackson Ramsay,4.0,11.0,15.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,9.0,6.0,1399.5,93.3,0.0,0.0,1.0,0.0,1.0,2.0,2.0,135.0,2.0,5.0,0.0,83.0,1,Away,0,1.0,1.0,2.0,2.0,1.004999999999999
Alan Toovey,12.0,2.0,14.0,4.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,3.0,10.0,799.4,57.1,0.0,0.0,3.0,0.0,0.0,0.0,2.0,260.0,2.0,6.0,0.0,93.0,1,Away,0,4.0,4.0,6.0,2.0,6.006
Marley Williams,7.0,6.0,13.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,2.0,8.0,5.0,500.5,38.5,1.0,0.0,2.0,0.0,0.0,2.0,1.0,172.0,4.0,4.0,0.0,86.0,1,Away,0,1.0,2.0,6.0,1.0,7.995
Brodie Grundy,6.0,7.0,13.0,0.0,0.0,0.0,3.0,31.0,0.0,1.0,5.0,4.0,2.0,1.0,3.0,10.0,5.0,699.4,53.8,0.0,0.0,0.0,0.0,1.0,4.0,2.0,171.0,5.0,1.0,0.0,87.0,1,Away,0,0.0,0.0,3.0,2.0,6.006
Jack Crisp,7.0,5.0,12.0,1.0,1.0,1.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,6.0,8.0,900.0,75.0,0.0,1.0,4.0,0.0,0.0,2.0,4.0,230.0,2.0,2.0,0.0,83.0,1,Away,0,1.0,0.0,5.0,3.0,3.0
Tyson Goldsack,5.0,6.0,11.0,3.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,5.0,6.0,699.6,63.6,1.0,1.0,2.0,0.0,0.0,0.0,3.0,110.0,3.0,2.0,3.0,84.0,1,Away,0,2.0,2.0,4.0,3.0,4.004
Alex Fasolo,7.0,4.0,11.0,4.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,699.6,63.6,1.0,2.0,2.0,0.0,0.0,0.0,7.0,132.0,1.0,1.0,2.0,87.0,1,Away,0,3.0,2.0,1.0,5.0,4.004
Nathan Brown,2.0,8.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,6.0,5.0,700.0,70.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,39.0,0.0,2.0,0.0,88.0,1,Away,0,0.0,0.0,3.0,1.0,3.0
Adam Oxley,5.0,3.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,3.0,5.0,400.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,150.0,0.0,0.0,0.0,57.0,1,Away,0,1.0,1.0,1.0,3.0,4.0
Jack Frost,1.0,5.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,600.0,100.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0,89.0,1,Away,0,1.0,1.0,3.0,2.0,0.0
Jordan De Goey,2.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,3.0,400.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,2.0,2.0,0.0,32.0,1,Away,0,1.0,1.0,1.0,0.0,1.0
